front,back,domain,business_use
Information management,"The disciplined handling of information resources so an organization can scan, interpret, decide, learn, and act.",foundations,"Use it to diagnose where a business firm loses time, trust, or decision quality because information is fragmented."
Information ecology,"A view of information work as a human, organizational, process, and technology ecosystem rather than a technology-only problem.",foundations,"Map people, processes, politics, data flows, tools, and decisions before designing an agent."
Environmental scanning,The systematic collection and interpretation of external signals that affect strategy and operations.,foundations,"Design market-intelligence agents that collect and summarize listings, comps, permits, rent trends, and policy changes."
Tacit knowledge,"Know-how embedded in experience, judgment, context, and practice that is hard to write down completely.",knowledge_management,"Interview top performers and convert patterns into playbooks, prompts, checklists, and review workflows."
Explicit knowledge,"Knowledge that can be documented, stored, searched, taught, reused, and governed.",knowledge_management,"Turn leasing SOPs, compliance rules, reporting standards, and objection handling into controlled knowledge assets."
Knowledge map,"A representation of where critical knowledge lives, who owns it, how it flows, and where gaps exist.",knowledge_management,"Build a knowledge map before automating maintenance triage, buyer lead routing, underwriting diligence, or investor reporting."
Data strategy,"A business-aligned plan for what data is needed, how it is governed, how it is used, and how it creates value.",data_strategy_governance,"Use a data-strategy workshop to prioritize agent use cases by business value, data readiness, risk, and change effort."
Data governance,"Decision rights, accountabilities, policies, standards, and controls for managing data as an asset.",data_strategy_governance,"Create stewardship roles for CRM, property-management, lease, accounting, listing, and document data."
Chief Data Officer,"An executive or senior role accountable for data strategy, governance, value creation, risk, and organizational enablement.",data_strategy_governance,Translate CDO playbook ideas into fractional data-leadership services for clients without a formal CDO.
Five Vs of data,"A big-data lens covering volume, velocity, variety, veracity, and value.",data_strategy_governance,"Assess CRM notes, listing feeds, lease docs, maintenance tickets, emails, and financial reports before automation."
Unstructured data,"Information that does not fit neatly into fixed tables, such as PDFs, emails, notes, contracts, photos, and call transcripts.",data_strategy_governance,"Create document-intelligence agents for leases, diligence rooms, email triage, work orders, and investor updates."
Data monetization,"Creating measurable value from data through internal improvement, external products, partnerships, or revenue models.",data_monetization,"Frame AI-agent ROI around saved labor, higher conversion, lower vacancy, better diligence, faster reporting, and risk reduction."
Data product,"A reusable, governed data asset or service designed around a user need, quality contract, and value outcome.",data_monetization,"Create data products for property profiles, tenant history, lead status, deal pipeline, lease abstracts, or investor KPIs."
Data protection,"Policies, practices, and controls that protect personal or sensitive data across collection, use, sharing, retention, and deletion.",privacy_security,"Define privacy requirements before connecting AI agents to CRM, email, documents, accounting, or property systems."
Zero trust,"A security model that assumes no implicit trust and continuously verifies identities, devices, access, and activity.",privacy_security,"Design agent permissions around scoped roles, source-specific access, audit logs, approval gates, and revocation."
Cybersecurity framework,"A structured way to identify, protect, detect, respond, and recover from cybersecurity risks.",privacy_security,"Use framework categories to scope agent security requirements, monitoring, vendor risk, and response procedures."
Information sharing failure,A breakdown in moving relevant information to the people or systems that need it at the right time and context.,knowledge_management,"Design agents that route the right maintenance, leasing, compliance, or diligence context to the right reviewer."
AI-agent readiness,"The degree to which a workflow has clear goals, trusted data, documented decisions, safe access, human oversight, and measurable ROI.",business_ai_agents,Score each candidate workflow before implementation and choose the first pilot by readiness plus value.
